name,rate,location,cuisines,approx_cost(for two people)
Chillout,,BTM,"Burger, Cafe, Pizza, Beverages",200
Choice Bakery,,BTM,"Bakery, Fast Food",200
Spoorthi Ice Cream,,BTM,"Desserts, Ice Cream",150
Food Prade Dairy Delight,,Bannerghatta Road,Desserts,300
Dribzz Bakes & Cafe,,BTM,"Fast Food, Chinese, Desserts",200
Oolala,,Koramangala 1st Block,"Bakery, Desserts",600
Home Treats,,JP Nagar,"Bakery, Desserts",250
Cocoa Bakes,,Jayanagar,"Bakery, Desserts",350
Mist n Creams,,Ejipura,Ice Cream,400
Smack Cafe,,Koramangala 1st Block,Cafe,400
Rajeev Bakery & Juice,,Richmond Road,"Fast Food, Desserts, Bakery",150
La Passion Cafe,,BTM,Cafe,500
House Of Wholewheat,3.1 /5,Koramangala 1st Block,"Bakery, Desserts",200
RP Sweets,3.4 /5,BTM,Mithai,300
New Bhangaru Sweets,,BTM,Mithai,300
Meraki Patisserie,3.3 /5,Jayanagar,"Bakery, Desserts",350
Arya S.L.Bakery,,Richmond Road,"Bakery, Juices, Fast Food",200
Bake Land,3.2 /5,Wilson Garden,Bakery,150
Cakes and Moulds,3.6 /5,Koramangala 1st Block,"Bakery, Desserts",300
Kulfi Club,,BTM,"Desserts, Ice Cream",200
Watheen Nuts,,BTM,Desserts,400
Sri venkateshwara Cake House,,BTM,"Bakery, Desserts",500
New Surya Sweets & Snacks,3.2 /5,BTM,"Mithai, Street Food",350
Chocolate Bomb,,BTM,Bakery,300
Bakewalk,3.3 /5,Wilson Garden,"Bakery, Arabian",200
Shivaay's Cafe,NEW,Wilson Garden,"Cafe, Desserts, Fast Food",400
Bombay Kulfi,,Koramangala 1st Block,"Desserts, Ice Cream",150
Oye Mithai,,Koramangala 1st Block,Mithai,200
The Chef's Cake & Bakes,,Richmond Road,Desserts,800
Juice Shop,3.5 /5,BTM,"Juices, Beverages, Ice Cream",150
Fenny's Lounge And Kitchen,4.5 /5,Koramangala 7th Block,"Mediterranean, Pizza, Continental, Seafood, Salad","1,600"
Biergarten,4.8 /5,Koramangala 5th Block,"Continental, North Indian, Chinese, European, BBQ, Finger Food, Asian","2,100"
Salt - Indian Restaurant Bar & Grill,4.4 /5,Koramangala 7th Block,"North Indian, Mughlai, Biryani","1,500"
Koramangala Social,4.6 /5,Koramangala 7th Block,"American, North Indian, Chinese, Finger Food","1,500"
Bombay Adda,4.4 /5,Koramangala 7th Block,Modern Indian,"1,100"
Punjab Bistro,4.4 /5,Koramangala 7th Block,North Indian,"1,500"
Gramin,4.3 /5,Koramangala 7th Block,North Indian,600
Toscano,4.5 /5,Koramangala 7th Block,"Italian, Salad","1,500"
Bob's Bar,NEW,Koramangala 7th Block,"South Indian, Finger Food","1,000"
Harry's Bar + Cafe,4.2 /5,Koramangala 7th Block,"Asian, American, Mexican","1,400"
Lot Like Crepes,4.6 /5,Koramangala 7th Block,"Cafe, Desserts, Continental",550
Rajdhani Thali Restaurant,4.0 /5,Koramangala 7th Block,North Indian,900
Tibetan Mother's Kitchen,4.0 /5,Koramangala 7th Block,"Tibetan, Chinese, Momos",500
Eagles Pizza,3.8 /5,Koramangala 7th Block,"Pizza, Italian",400
The Vacationer's Cafe,4.1 /5,Koramangala 7th Block,"Cafe, Continental, Mexican",600
Zingron,4.1 /5,Koramangala 7th Block,"Chinese, Naga",750
Baba Da Dhaba,4.1 /5,Koramangala 7th Block,North Indian,650
Smoke - The Sizzler House,4.0 /5,Koramangala 7th Block,"Continental, Chinese, Thai, Italian, BBQ, Steak","1,100"
JukeBox,3.9 /5,Koramangala 7th Block,"Continental, Parsi, Chinese, North Indian, Italian, Steak","1,000"
Tata Cha,3.6 /5,Koramangala 7th Block,"Cafe, Tea, North Indian",500
Bangaliana,3.9 /5,Koramangala 7th Block,Bengali,600
Aalishan Restaurant & Caterer,3.5 /5,Koramangala 7th Block,"North Indian, Mughlai",650
Vitamin Palace,4.1 /5,Koramangala 7th Block,"Cafe, Beverages, Healthy Food, Juices",650
Axomi - Taste of Assam,4.1 /5,Koramangala 7th Block,Assamese,500
Saara's Cafe - SS Lumina Hotel,4.2 /5,Koramangala 7th Block,"North Indian, South Indian, Chinese, Arabian",800
Breaktime Brew,3.7 /5,Koramangala 7th Block,Cafe,550
Saara's Grill n Spice - SS Lumina Hotel,4.3 /5,Koramangala 7th Block,"North Indian, Arabian, Beverages","1,000"
Polamma's Mess,3.8 /5,Koramangala 7th Block,"North Indian, Chinese, Biryani",300
Empire Restaurant,3.9 /5,Koramangala 7th Block,"Biryani, Kerala, Mughlai, Arabian, North Indian, Juices",750
Maxpresso,4.1 /5,Koramangala 7th Block,"Cafe, American, Italian, Beverages",700
Kebarbiq,4.0 /5,Koramangala 7th Block,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",800
Hotel Parampare,2.9 /5,Koramangala 7th Block,"North Indian, Mughlai, Biryani",600
Smokey Tribe Restaurant,3.8 /5,Koramangala 7th Block,"North Eastern, Chinese",650
Pizza Hut,3.7 /5,Koramangala 7th Block,"Pizza, Fast Food",750
Cafe Noir,,Koramangala 7th Block,"European, French, Salad","1,500"
Gam's Delicacy,4.2 /5,Koramangala 7th Block,"North Indian, Chinese, Assamese",800
A2B - Adyar Ananda Bhavan,2.7 /5,Koramangala 7th Block,"South Indian, North Indian, Chinese, Street Food, Fast Food",400
Maria's Goan Kitchen,4.0 /5,Koramangala 7th Block,"Goan, Chinese, Biryani",750
Hotel Food Lands,3.8 /5,Koramangala 7th Block,"Seafood, Mangalorean",700
Elmas Restaurant,3.4 /5,Koramangala 7th Block,"North Indian, Kerala, Chinese, Biryani, Seafood, South Indian",650
Selfie Cafe,3.7 /5,Koramangala 7th Block,"Beverages, Fast Food, Desserts",300
The Golden Spoon Restaurant Meat & Wine,3.5 /5,Koramangala 7th Block,"Chinese, North Indian","1,000"
Barbeque Station,2.8 /5,Koramangala 7th Block,"North Indian, Chinese, BBQ",700
Daawat Restaurant Bar & Pub,3.5 /5,Koramangala 7th Block,"Finger Food, North Indian, Seafood, Mangalorean, Chinese",700
Cafe Coffee Day,3.2 /5,Koramangala 7th Block,Cafe,650
Hotel Kaara Chaaram,,Koramangala 7th Block,"South Indian, North Indian, Chinese",500
The Eatery Cafe and Restaurant,,Koramangala 7th Block,"Cafe, Continental",500
CHAAI BEE,3.5 /5,Koramangala 7th Block,"Beverages, Fast Food, Street Food",250
Malnad Military Hotel,3.8 /5,Koramangala 7th Block,"South Indian, Chinese",500
Om's Cafe Prana,3.6 /5,Koramangala 7th Block,"Cafe, Fast Food",300
Zeeshan,3.8 /5,Koramangala 7th Block,"North Indian, Kebab, Biryani, Rolls",700
Tenzin Kitchen,4.2 /5,Koramangala 7th Block,"Tibetan, Chinese, Momos",450
Nutri Rich,3.8 /5,Koramangala 7th Block,Healthy Food,350
Gods Own Cafe,4.4 /5,Koramangala 7th Block,"South Indian, Kerala, Seafood",300
Arya Hungry?,4.3 /5,Koramangala 7th Block,North Indian,450
Burger King,3.9 /5,Koramangala 7th Block,"Burger, Fast Food, Beverages",600
Smoor,4.2 /5,Koramangala 7th Block,"Desserts, Cafe, Beverages",900
Banchharam,3.9 /5,Koramangala 7th Block,"Street Food, Mithai",200
Senthur Cafe,3.4 /5,Koramangala 7th Block,"South Indian, Beverages",100
Laziz Pizza,3.8 /5,Koramangala 7th Block,"Fast Food, Burger, Pizza",400
Paisa Vasool,3.3 /5,Koramangala 7th Block,North Indian,400
Udupi Upahar,3.6 /5,Koramangala 7th Block,"South Indian, North Indian, Chinese",300
Gundappa Donne Biryani,3.1 /5,Koramangala 7th Block,Biryani,200
McDonald's,3.9 /5,Koramangala 7th Block,"Fast Food, Burger",500
Pappu Chaiwalla,3.5 /5,Koramangala 7th Block,"Fast Food, Tea, Beverages",300
Yummy Biryani,3.8 /5,Koramangala 7th Block,Biryani,200
New Ambur Biryani,3.2 /5,Koramangala 7th Block,Biryani,150
KFC,3.9 /5,Koramangala 7th Block,"Burger, Fast Food",450
Friend's Cafe,3.9 /5,Koramangala 7th Block,"Fast Food, American, Chinese",600
Min Mini Punjabi Dhaba,3.9 /5,Koramangala 7th Block,North Indian,400
Shiv Sagar,3.9 /5,Koramangala 7th Block,"Chinese, North Indian, Fast Food, Street Food",500
Tibbs Frankie,3.5 /5,Koramangala 7th Block,"Street Food, Rolls",200
Ande Ka Funda,3.7 /5,Koramangala 7th Block,"North Indian, Chinese, Rolls",250
Coconadu,3.8 /5,Koramangala 7th Block,"Kerala, Konkan",400
Meat And Eat,3.6 /5,Koramangala 7th Block,"Fast Food, Burger",500
Udupi Grand,2.8 /5,Koramangala 7th Block,"South Indian, North Indian, Chinese",300
Desi Dhaba,3.7 /5,Koramangala 7th Block,"North Indian, Chinese, Rolls",300
FNC Seafood,3.8 /5,Koramangala 7th Block,"Seafood, Fast Food",400
Sri Krishna Sagar,3.6 /5,Koramangala 7th Block,South Indian,300
Malabar Coastal Cuisine,3.6 /5,Koramangala 7th Block,Kerala,550
Chai Chowk,3.8 /5,Koramangala 7th Block,"Chinese, Fast Food",200
Calicut Durbar,3.8 /5,Koramangala 7th Block,"Arabian, North Indian",500
Falafel's - The Lebanese Haus,2.9 /5,Koramangala 7th Block,Lebanese,300
Now Momos,3.4 /5,Koramangala 7th Block,"Chinese, Fast Food, Momos",200
Shree Mithai,3.3 /5,Koramangala 7th Block,"Desserts, Street Food, Mithai",150
Banashankari Donne Biriyani,3.3 /5,Koramangala 7th Block,"South Indian, Biryani",300
Chowk Tea Stall,3.4 /5,Koramangala 7th Block,"Street Food, Tea",100
Al Baith,,Koramangala 7th Block,"North Indian, Chinese",300
WOW! Momo,3.8 /5,Koramangala 7th Block,"Tibetan, Momos",400
Pathaan Sir,3.8 /5,Koramangala 7th Block,"Rolls, Chinese",300
Beijing Bites,2.9 /5,Koramangala 7th Block,"Chinese, Thai",600
The Black Pearl,4.7 /5,Koramangala 5th Block,"North Indian, European, Mediterranean","1,400"
Truffles,4.7 /5,Koramangala 5th Block,"Cafe, American, Burger, Steak",900
The Bier Library,4.3 /5,Koramangala 6th Block,"Continental, North Indian, Pizza, BBQ","2,000"
XOOX Brewmill,4.4 /5,Koramangala 5th Block,"Modern Indian, European, Asian","2,000"
Gilly's Restobar,4.5 /5,Koramangala 5th Block,"Finger Food, Continental, North Indian","1,000"
Buff Buffet Buff,4.5 /5,Koramangala 5th Block,"North Indian, Chinese, Continental, Thai, Salad","1,500"
Boho,4.2 /5,Koramangala 5th Block,"Continental, Asian, American, North Indian, Desserts","1,200"
The Hole in the Wall Cafe,4.6 /5,Koramangala 4th Block,"Cafe, American, Burger",600
Sultans of Spice,4.5 /5,Koramangala 5th Block,"North Indian, Mughlai, Salad","1,300"
The Reservoire,4.5 /5,Koramangala 5th Block,"Continental, North Indian, Chinese, American","1,300"
Indigo XP,4.2 /5,Koramangala 5th Block,"Finger Food, Continental, Asian, North Indian","1,400"
Dyu Art Cafe,4.5 /5,Koramangala 5th Block,"Cafe, Italian, Fast Food",800
The Fixx,4.3 /5,Koramangala 4th Block,"Continental, South Indian, Italian, North Indian, Chinese","1,200"
Prost Brew Pub,4.5 /5,Koramangala 4th Block,"American, Continental, North Indian, Salad","1,800"
Brooks and Bonds Brewery,4.5 /5,Koramangala 5th Block,"Continental, Mediterranean, North Indian, Chinese, Finger Food","1,600"
Sharief Bhai,4.4 /5,Koramangala 5th Block,"Mughlai, Biryani",700
Ulavacharu,4.2 /5,Koramangala 5th Block,"Andhra, North Indian, Chinese",900
Asia Kitchen By Mainland China,4.9 /5,Koramangala 5th Block,"Asian, Chinese, Thai, Momos","1,500"
ECHOES Koramangala,4.7 /5,Koramangala 5th Block,"Chinese, American, Continental, Italian, North Indian",750
Bonsouth,4.2 /5,Koramangala 5th Block,"Chettinad, Andhra, Kerala","1,300"
Chianti,4.7 /5,Koramangala 5th Block,Italian,"1,500"
House Of Commons,4.7 /5,Koramangala 5th Block,"Continental, Asian, North Indian","1,000"
Foxtrot - House of Subculture,4.4 /5,Koramangala 3rd Block,"Cafe, American, Asian, North Indian","1,000"
Onesta,4.4 /5,Koramangala 4th Block,"Pizza, Cafe, Italian",600
Om Made Cafe,4.1 /5,Koramangala 5th Block,"Cafe, Continental, European, Juices","1,300"
Drava,4.4 /5,Koramangala 5th Block,"Pizza, Continental, North Indian, Asian","1,500"
The Terrace at Gilly's Redefined,4.5 /5,Koramangala 4th Block,"Continental, Finger Food, Asian, North Indian","1,400"
The Boozy Griffin,4.6 /5,Koramangala 5th Block,"European, Continental","1,800"
Simon Says Brew Works,4.5 /5,Koramangala 5th Block,"Continental, American, Italian, Modern Indian, Pizza, Burger","1,400"
Meghana Foods,4.4 /5,Koramangala 5th Block,"Biryani, Andhra, North Indian, Seafood",600
Tim Tai,4.4 /5,Koramangala 5th Block,"Chinese, Thai, Asian, Malaysian, Vietnamese, Sri Lankan, Burmese","1,400"
Nasi And Mee,4.4 /5,Koramangala 4th Block,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos","1,000"
Myu Bar at Gilly's Redefined,4.5 /5,Koramangala 4th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian","1,200"
Third Wave Coffee Roasters,4.4 /5,Koramangala 4th Block,"Cafe, Continental, Desserts",800
The Old Fashioned Bar,4.5 /5,Koramangala 6th Block,"Finger Food, North Indian, Continental","1,000"
By The Blue - Grand Mercure,4.1 /5,Koramangala 3rd Block,"North Indian, Mughlai","1,500"
Zee5 Loft,4.4 /5,Koramangala 6th Block,"Cafe, North Indian, Pizza, Sandwich, Salad",500
Sotally Tober,4.4 /5,Koramangala 4th Block,"Asian, Burger, Pizza, Chinese, Finger Food","1,200"
Blue Tokai Coffee Roasters,4.0 /5,Koramangala 8th Block,"Cafe, Coffee",400
Kobe Sizzlers,4.1 /5,Koramangala 5th Block,"American, Continental, Fast Food, Steak","1,000"
Happy Brew,4.0 /5,Koramangala 5th Block,"Continental, American, Chinese, BBQ, Salad","1,000"
1522 - The Pub,4.2 /5,Koramangala 4th Block,"Chinese, Continental, North Indian","1,400"
Sixth Avenue Cafe And Patisserie,4.4 /5,Koramangala 5th Block,"Cafe, Italian, Desserts",600
Big Wong XL,4.5 /5,Koramangala 5th Block,"Chinese, Sushi, Asian, Thai","1,400"
Nagarjuna,4.3 /5,Koramangala 5th Block,"Andhra, North Indian, Biryani",800
Crawl Street,4.3 /5,Koramangala 5th Block,"Continental, Finger Food, North Indian, Chinese","1,200"
Pasta Street,4.5 /5,Koramangala 4th Block,"Italian, Pizza, Salad","1,300"
The Smoke Co.,4.3 /5,Koramangala 6th Block,"American, European","2,500"
A Hole Lotta Love Cafe,4.3 /5,Koramangala 5th Block,"Cafe, American, Burger, Sandwich, Beverages",600
The Beer Cafe,4.2 /5,Koramangala 4th Block,"Finger Food, Chinese, Italian, Burger","1,300"
China Pearl,4.4 /5,Koramangala 6th Block,Chinese,"1,100"
Kopper Kadai,4.1 /5,Koramangala 5th Block,"North Indian, Chinese","1,200"
Kritunga Restaurant,3.8 /5,Koramangala 5th Block,"Andhra, Biryani, North Indian, Chinese",650
Wok Paper Scissors,4.3 /5,Koramangala 5th Block,"Asian, Malaysian, Chinese, Thai, Momos",550
Cheers Pub Bar & Restro,NEW,Koramangala 4th Block,"Continental, Finger Food, Pizza, North Indian, Bar Food","1,100"
Bathinda Junction,4.1 /5,Koramangala 5th Block,"North Indian, Mughlai",600
Barleyz,3.8 /5,Koramangala 6th Block,"North Indian, Continental, Chinese","2,000"
Oye Amritsar,4.0 /5,Koramangala 6th Block,North Indian,600
Hunan,4.3 /5,Koramangala 5th Block,"Chinese, Thai, Momos","1,100"
Beer Adda,4.3 /5,Koramangala 5th Block,"North Indian, Chinese, Pizza","1,000"
Hungry Hippie,4.3 /5,Koramangala 5th Block,"Cafe, Continental, Italian, Burger",800
Karavali Grand,3.7 /5,Koramangala 5th Block,"Mangalorean, Seafood, North Indian, Chinese",600
Mimansa @ Foxtrot,4.4 /5,Koramangala 3rd Block,Cafe,"1,000"
Anjappar,4.0 /5,Koramangala 4th Block,"Chettinad, South Indian",650
Dice N Dine,4.3 /5,Koramangala 5th Block,"Continental, Cafe, Italian, Fast Food, Steak",900
Dialogues,4.1 /5,Koramangala 4th Block,"Cafe, Continental",600
Royal Treat,4.1 /5,Koramangala 5th Block,"North Indian, Chinese, Biryani",500
Fava Bistro,4.4 /5,Koramangala 5th Block,"Mediterranean, Pizza, Italian, Beverages","1,500"
Via Milano,4.2 /5,Koramangala 4th Block,"Salad, Italian, Desserts, Pizza","1,500"
Nuts Over Salads Cafe,4.4 /5,Koramangala 5th Block,"Cafe, Salad, Healthy Food, Mexican",800
Chinita Real Mexican Food,4.5 /5,Koramangala 5th Block,Mexican,"1,200"
YORK St.,4.4 /5,Koramangala 5th Block,"Cafe, European, Continental",900
Roundup Cafe,4.2 /5,Koramangala 5th Block,"Cafe, Continental, Beverages",800
Enerjuvate Studio & Cafe,4.4 /5,Koramangala 4th Block,"Cafe, Continental, Healthy Food, Sandwich, Pizza, Desserts, Beverages",800
Magnolia,4.1 /5,Koramangala 3rd Block,"Chinese, Thai, Asian",900
The Flying Trapeze,NEW,Koramangala 5th Block,"Continental, North Indian, Chinese, Modern Indian, Asian","1,500"
Carrots,4.1 /5,Koramangala 6th Block,"Italian, North Indian, Healthy Food, Desserts","1,100"
Noodle Panda,4.3 /5,Koramangala 5th Block,"Chinese, Indonesian, Japanese, Malaysian, Thai, Vietnamese, Momos",800
Market Table,4.5 /5,Koramangala 5th Block,"Cafe, Continental, Mediterranean, Beverages",900
Anupam's Coast II Coast,4.1 /5,Koramangala 6th Block,"Seafood, Mangalorean, North Indian, Chinese",700
Banjara Melting Pot,4.2 /5,Koramangala 4th Block,"North Indian, Chinese, Seafood","1,700"
Pot-O-Noodles,4.3 /5,Koramangala 4th Block,"Chinese, Asian, Japanese",800
Baba Chatkora,4.2 /5,Koramangala 6th Block,North Indian,"1,000"
Bamey's Restro Cafe,4.2 /5,Koramangala 5th Block,"Chinese, Singaporean, Thai, Asian, Nepalese, Momos",600
Karama Restaurant,4.1 /5,Koramangala 5th Block,"Arabian, North Indian, Beverages",750
Cafe Graffiters,3.8 /5,Koramangala 5th Block,"Cafe, Continental, Beverages",600
Stoked!,4.3 /5,Koramangala 4th Block,"Cafe, Italian, Pizza",850
Oldtown Dilli,4.1 /5,Koramangala 4th Block,"Mughlai, North Indian, Turkish, Afghan",750
Mayur,3.7 /5,Hosur Road,"Andhra, North Indian, Chinese, Seafood",700
What's In A Name,4.1 /5,Koramangala 5th Block,"Finger Food, Asian, European, Italian","1,200"
Nandhana Palace,4.1 /5,Koramangala 4th Block,"Andhra, Biryani, North Indian, Chinese",800
Hanoi - Vietnamese Cuisine,4.4 /5,Koramangala 4th Block,Vietnamese,"1,000"
Kargeens,4.1 /5,Koramangala 6th Block,"Cafe, Continental, Italian",600
Sathya's,4.1 /5,Koramangala 3rd Block,"North Indian, Chinese","1,200"
154 Breakfast Club,4.0 /5,Koramangala 3rd Block,"Cafe, Continental",900
Mr. Beans - Home Cafe,4.2 /5,Koramangala 3rd Block,"Cafe, Continental, Italian","1,000"
Bhojohori Manna,4.1 /5,Koramangala 6th Block,"Bengali, Mughlai",650
Tunday Kababi,3.9 /5,Koramangala 5th Block,"North Indian, Kebab",500
Hyderabad Biryaani House,4.1 /5,Koramangala 5th Block,"Biryani, North Indian, Chinese, Hyderabadi",750
Chung Wah,4.0 /5,Koramangala 5th Block,"Chinese, Thai, Momos, Vietnamese",800
Qube Cafe,4.2 /5,Koramangala 4th Block,"Cafe, Desserts",700
Naati Manae,3.9 /5,Koramangala 5th Block,"North Indian, South Indian, Chinese, Biryani",700
The Himalayan,4.4 /5,Koramangala 5th Block,Korean,"1,200"
Gudguda Prime Cafe,4.2 /5,Koramangala 6th Block,"Cafe, Continental, Chinese, Italian",800
Krazy Factory,4.0 /5,Koramangala 5th Block,"Cafe, Continental, Chinese",
Cafe D'hide,4.2 /5,Koramangala 5th Block,"Cafe, American, Continental, Italian",600
Attic Lounge,4.0 /5,Koramangala 4th Block,Cafe,700
Cafe Medley,4.2 /5,Koramangala 5th Block,"Cafe, Continental, Burger",800
Indian Coffee House & Restaurant,4.1 /5,Koramangala 5th Block,"South Indian, North Indian, Chinese",650
1722 Urban Bistro,4.1 /5,Koramangala 5th Block,"North Indian, Chinese, Fast Food, Biryani",600
Mustard Cafe,4.1 /5,Koramangala 3rd Block,"Cafe, Continental, Burger, Salad, Healthy Food, Italian",800
Bundar,4.1 /5,Koramangala 6th Block,"Cafe, Burger, Fast Food, Desserts",700
Shanmukha,4.0 /5,Koramangala 5th Block,"Biryani, Andhra, North Indian, Chinese",800
The Local - Terrace Drinkery,4.0 /5,Koramangala 6th Block,"Continental, American, Pizza, BBQ","1,000"
Mani's Dum Biryani,3.9 /5,Koramangala 5th Block,"Biryani, Andhra",750
Dalma,3.9 /5,Koramangala 6th Block,Oriya,600
Fresh Pressery Cafe,4.1 /5,Koramangala 5th Block,"Cafe, Healthy Food, Salad, Beverages, Desserts","1,200"
Wild Thyme Restaurant,4.4 /5,Koramangala 5th Block,"Chinese, Continental, North Indian, Italian, Seafood",800
Peace Restaurant,3.8 /5,Koramangala 5th Block,"Chinese, Tibetan, North Indian",500
Tilt Gastro Lounge,4.1 /5,Koramangala 5th Block,"Continental, American, North Indian, Chinese","1,500"
Patiala Highway,3.7 /5,Koramangala 6th Block,North Indian,700
Swathi Maharaja,3.7 /5,Koramangala 4th Block,"Andhra, North Indian, Chinese, Biryani",750
Tangerine - Davanam Sarovar Portico Suites,4.0 /5,Koramangala 2nd Block,"Continental, Italian, North Indian, Asian, Bakery, Chinese, European, Japanese","1,100"
Bistro Oui,4.1 /5,Koramangala 5th Block,"Cafe, Continental, Salad, Steak","1,200"
Bulls N Bears - Bar Trade Xchange,3.8 /5,Koramangala 5th Block,"Finger Food, North Indian, Continental, Pizza","1,000"
Drunkling - Sizzlers and Pub,4.4 /5,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood","1,000"
Smally's Resto Cafe,4.2 /5,Koramangala 5th Block,"Cafe, Italian, Burger, American, Steak",650
Johnny Fox,3.9 /5,Hosur Road,"North Indian, Chinese","1,500"
The Yellow Tuk-Tuk Cafe,3.6 /5,Koramangala 5th Block,"Cafe, Continental, Beverages",500
Desipun,4.2 /5,Koramangala 5th Block,North Indian,700
Pipabu,3.6 /5,Koramangala 4th Block,"Continental, Italian, Chinese",750
Waffle Magic,4.1 /5,Koramangala 6th Block,"Cafe, Desserts",700
Fill N Chill Resto Bar & Pub,3.9 /5,Koramangala 4th Block,"Finger Food, North Indian, Chinese","1,200"
Little Lucknow,4.0 /5,Koramangala 5th Block,"Mughlai, North Indian",800
The Rendezvous,3.7 /5,Koramangala 4th Block,"Continental, Steak, Chinese, Salad, Desserts, Seafood, Italian",800
Sutra Spice-The Resto Bar,3.8 /5,Koramangala 4th Block,"South Indian, Andhra","1,000"
White Fog,NEW,Koramangala 6th Block,"Cafe, Italian, Fast Food",800
Sherlock's Pub,3.9 /5,Koramangala 5th Block,"Continental, North Indian, Chinese","1,300"
Cilantro,4.0 /5,Koramangala 4th Block,"European, American, Continental, North Indian, Steak","1,500"
Chai Galli,4.3 /5,Koramangala 5th Block,"Cafe, Tea, Street Food",450
Sukh Sagar,3.8 /5,Koramangala 5th Block,"South Indian, North Indian, Chinese, Street Food",500
Barbeque Delight,3.8 /5,Koramangala 5th Block,"Arabian, Kerala, North Indian, Chinese, BBQ",800
Fabindia Cafe,4.2 /5,Koramangala 2nd Block,"Cafe, Street Food",200
Popsies,3.9 /5,Koramangala 5th Block,"Chinese, Momos",750
The Arabesque Cafe,4.1 /5,Koramangala 4th Block,"American, Continental, Chinese",600
China Bowl,3.9 /5,Koramangala 6th Block,Chinese,"1,000"
Gorilla Barfare,4.2 /5,Koramangala 6th Block,"Continental, Pizza, Burger","1,400"
Over The Top Terrace Lounge,3.9 /5,Koramangala 5th Block,"Continental, North Indian","1,400"
Meenu Oota Da Maane,4.2 /5,Koramangala 5th Block,"Seafood, Mangalorean, Chinese",800
PagalKhana,3.9 /5,Koramangala 4th Block,"Continental, Chinese, Fast Food, Beverages","1,000"
7 Plates,3.7 /5,Koramangala 5th Block,"Mughlai, Fast Food",750
Go Italia,4.0 /5,Koramangala 6th Block,"Italian, Pizza, Fast Food, Salad",750
Terra Bites,4.0 /5,Koramangala 4th Block,"Cafe, Italian, Continental",700
Tandoor Hut,4.1 /5,Koramangala 5th Block,"North Indian, Mughlai, Chinese, Rolls",700
Hotel Tom's Restaurant,4.0 /5,Koramangala 6th Block,"Mangalorean, Seafood, Chinese, North Indian","1,000"
Lazeez,3.1 /5,Koramangala 5th Block,"North Indian, Mughlai, Biryani",600
Purani Dilli By Anand Sweets,4.1 /5,Koramangala 5th Block,"North Indian, Fast Food",500
Chai Point,4.0 /5,Koramangala 6th Block,"Tea, Fast Food, Beverages, Sandwich",250
WTF,4.1 /5,Koramangala 5th Block,"Cafe, Continental",600
Kerala Mess. SIJI's MESS,NEW,Ejipura,Kerala,100
The Underground Gastropub,3.0 /5,Koramangala 5th Block,Finger Food,"1,000"
The Yogisthaan Cafe,4.1 /5,Koramangala 2nd Block,"Cafe, Healthy Food, Salad, Beverages",600
Aami Bangali,3.6 /5,Koramangala 5th Block,Bengali,700
12th Main - Grand Mercure,4.1 /5,Koramangala 3rd Block,"European, Asian","2,000"
Billionaires Cafe,3.8 /5,Koramangala 5th Block,"Cafe, Italian",600
Shree Thali,4.1 /5,Koramangala 5th Block,North Indian,150
Paratha Plaza,3.9 /5,Koramangala 4th Block,North Indian,250
Mustard Food Court,3.6 /5,Koramangala 3rd Block,"North Indian, Chinese",500
Taj Darbar,3.8 /5,Koramangala 5th Block,"Biryani, Mughlai, Chinese",600
Cafemoto,4.0 /5,Koramangala 5th Block,"Cafe, Continental, Italian, Burger",800
Fandom at Gilly's Redefined,3.8 /5,Koramangala 4th Block,Finger Food,"1,500"
Haji Ali Juice Centre,4.0 /5,Koramangala 5th Block,"Beverages, Fast Food, Desserts",350
Embers - Nandhana Grand Hotel,3.8 /5,Koramangala 6th Block,"North Indian, South Indian, Thai, Chinese, Continental",900
Smoke-A-Pot,3.3 /5,Koramangala 5th Block,"Biryani, Kebab, Rolls",600
Thalassery Restaurant,3.6 /5,Koramangala 5th Block,"Kerala, Biryani, South Indian, North Indian, Chinese, Seafood, Juices",600
Namaste Kitchen,3.8 /5,Koramangala 5th Block,"North Indian, South Indian, Chinese",550
Smise,4.0 /5,Koramangala 4th Block,"Cafe, Continental, Italian, Burger, Pizza",650
Mayura Grand Pure Veg Restaurant,NEW,Koramangala 6th Block,"North Indian, South Indian, Chinese",600
Jimi's Beer Cafe,3.8 /5,Koramangala 6th Block,"American, North Indian, Chinese","1,700"
Chaat Street,3.9 /5,Koramangala 6th Block,"Street Food, North Indian",250
Grand Gowdru Hotel,3.4 /5,Koramangala 6th Block,"South Indian, North Indian, Chinese",700
Tella Tales,4.2 /5,Koramangala 5th Block,"Cafe, Desserts, Beverages",700
Grills And Tandoor,3.7 /5,Koramangala 5th Block,"North Indian, Chinese",900
Bansuri Sweets,3.7 /5,Koramangala 6th Block,"Mithai, North Indian, Street Food",250
Black Kitchen,3.7 /5,Koramangala 6th Block,"Kerala, South Indian",400
Mayuri Andhra Mess,,Koramangala 5th Block,"Andhra, Biryani",300
Momo Rice Noodles,3.8 /5,Ejipura,"Chinese, Momos",600
Cashmere Nites,3.5 /5,Koramangala 6th Block,Kashmiri,600
The Paramount Hotel,3.6 /5,Koramangala 5th Block,"North Indian, Seafood, Biryani, Kerala","1,000"
